Hi, my name is
Hello, my name is
Hey, my name is
Hi, I'm
Hello, I'm
Hey, I'm
I am
I'm
My name is
This is
It's me,
You can call me
I go by
People call me
Let me introduce myself, I am
Allow me to introduce myself, I'm
Nice to meet you, I'm
Pleasure to meet you, my name is
Hey everyone, I'm
Hi there, my name is
Hello everyone, my name is
Hey folks, I’m
For those who don’t know me, I’m
If you haven’t met me before, I’m
By the way, I’m
You might know me as
Just so you know, I’m
Let me quickly introduce myself, I’m
I just wanted to say, I’m
Hi all, I’m
Hello all, my name is
Hey team, my name is
